iter	Passed	Remaining
0	683	682908
1	1291	644240
2	1875	623396
3	2444	608652
4	2998	596772
5	3640	603098
6	4256	603759
7	4854	601952
8	5448	599934
9	5975	591531
10	6563	590122
11	7117	586047
12	7651	580946
13	8180	576110
14	8771	575997
15	9294	571602
16	9821	567938
17	10407	567783
18	10990	567459
19	11573	567077
20	12185	568059
21	12767	567587
22	13344	566856
23	13879	564415
24	14470	564362
25	15218	570114
26	15747	567497
27	16284	565316
28	16967	568109
29	17594	568904
30	18197	568821
31	18898	571685
32	19583	573853
33	20175	573226
34	20924	576923
35	21531	576566
36	22120	575742
37	22813	577546
38	23481	578620
39	24082	577975
40	24716	578117
41	25338	577968
42	25924	576967
43	26506	575917
44	27096	575056
45	27747	575458
46	28395	575769
47	29021	575587
48	29619	574867
49	30262	574993
50	30962	576151
51	31723	578352
52	32384	578639
53	33138	580540
54	33665	578442
55	34416	580169
56	34985	578797
57	35602	578236
58	36362	579957
59	37195	582725
60	37870	582956
61	38529	582917
62	39164	582487
63	39785	581867
64	40430	581578
65	41009	580349
66	41726	581063
67	42399	581117
68	42962	579683
69	43584	579047
70	44367	580526
71	45376	584855
72	45983	583930
73	46800	585638
74	47462	585375
75	48064	584357
76	48190	577665
77	48834	577251
78	49384	575735
79	50137	576583
80	50897	577461
81	51604	577723
82	52330	578155
83	52983	577768
84	53810	579251
85	54581	580091
86	55158	578851
87	55789	578186
88	56346	576761
89	56944	575775
90	57534	574714
91	58139	573812
92	58778	573251
93	59308	571633
94	59968	571283
95	60551	570195
96	61165	569402
97	61736	568229
98	62287	566876
99	62831	565486
100	63507	565279
101	64110	564422
102	64704	563490
103	65366	563154
104	65888	561618
105	66499	560855
106	67024	559373
107	67615	558456
108	68182	557345
109	68729	556087
110	69421	555998
111	70047	555373
112	70638	554480
113	71204	553400
114	71736	552058
115	72380	551590
116	72964	550663
117	73524	549565
118	74080	548446
119	74672	547600
120	75319	547155
121	75937	546499
122	76528	545657
123	77189	545307
124	77895	545266
125	78548	544850
126	79227	544607
127	79841	543917
128	80413	542943
129	81051	542419
130	81623	541454
131	82216	540637
132	82943	540690
133	83534	539854
134	84169	539308
135	84870	539180
136	85436	538187
137	86040	537443
138	86560	536179
139	87257	536007
140	87857	535246
141	88446	534416
142	89027	533544
143	89615	532713
144	90178	531744
145	90709	530589
146	91296	529766
147	91948	529322
148	92696	529430
149	93280	528592
150	93880	527844
151	94459	526984
152	95094	526438
153	95692	525688
154	96488	526015
155	97252	526161
156	97822	525249
157	98446	524635
158	99072	524025
159	99613	522969
160	100263	522491
161	100849	521680
162	101578	521604
163	102311	521537
164	103078	521638
165	103822	521615
166	104481	521157
167	105048	520241
168	105677	519631
169	106270	518849
170	106896	518227
171	107498	517491
172	108236	517408
173	108885	516891
174	109480	516122
175	110086	515404
176	110748	514949
177	111352	514224
178	112054	513949
179	112581	512870
180	113305	512690
181	113973	512253
182	114634	511783
183	115270	511200
184	115954	510826
185	116658	510536
186	117244	509733
187	118057	509908
188	118749	509555
189	119337	508756
190	119979	508186
191	120577	507429
192	121276	507098
193	122411	508575
194	123136	508334
195	123922	508333
196	124770	508582
197	125645	508929
198	126416	508844
199	127169	508679
200	127894	508397
201	128873	509115
202	129479	508351
203	130283	508360
204	130875	507542
205	131453	506672
206	132018	505753
207	132602	504910
208	133338	504643
209	133876	503629
210	134556	503151
211	135212	502580
212	135774	501665
213	136356	500825
214	137074	500479
215	137846	500330
216	138445	499553
217	139076	498889
218	139616	497900
219	140231	497186
220	141136	497490
221	141781	496874
222	142433	496282
223	143026	495482
224	143652	494803
225	144372	494445
226	145030	493871
227	145652	493173
228	146183	492172
229	146781	491397
230	147417	490754
231	148114	490308
232	148697	489488
233	149371	488968
234	150042	488436
235	150733	487967
236	151301	487101
237	151958	486521
238	152547	485725
239	153131	484916
240	153742	484193
241	154281	483245
242	155013	482900
243	155691	482387
244	156328	481746
245	156857	480774
246	157434	479952
247	158036	479206
248	158673	478570
249	159343	478029
250	159983	477402
251	160591	476675
252	161366	476444
253	162029	475882
254	162691	475314
255	163300	474593
256	163916	473891
257	164455	472968
258	165081	472298
259	165638	471433
260	166309	470892
261	167438	471639
262	167988	470750
263	168541	469872
264	169307	469587
265	169969	469012
266	170609	468377
267	171137	467434
268	171979	467350
269	172547	466517
270	173241	466027
271	173812	465204
272	174466	464604
273	175166	464128
274	175724	463273
275	176324	462531
276	176980	461939
277	177603	461257
278	178288	460739
279	178989	460258
280	179874	460248
281	180489	459544
282	181042	458684
283	181668	458008
284	182207	457116
285	182904	456622
286	183594	456107
287	184221	455437
288	184928	454962
289	185717	454687
290	186351	454031
291	186919	453215
292	187532	452510
293	188062	451605
294	188712	450991
295	189249	450105
296	189875	449436
297	190621	449047
298	191396	448724
299	192090	448210
300	192621	447317
301	193235	446616
302	193850	445921
303	194503	445309
304	195304	445038
305	195916	444333
306	196614	443823
307	197230	443128
308	197963	442694
309	198661	442182
310	199195	441305
311	199981	440983
312	200551	440188
313	201121	439393
314	201773	438777
315	202667	438685
316	203259	437937
317	203869	437228
318	204455	436470
319	205018	435664
320	205596	434892
321	206221	434217
322	206826	433503
323	207454	432837
324	207994	431989
325	208615	431308
326	209197	430550
327	209814	429863
328	210404	429122
329	211015	428425
330	211632	427741
331	212378	427315
332	213053	426746
333	213600	425922
334	214130	425065
335	214716	424319
336	215337	423645
337	215945	422947
338	216598	422334
339	217350	421915
340	217909	421121
341	218454	420300
342	219003	419491
343	219606	418784
344	220247	418150
345	220893	417527
346	221471	416774
347	222072	416067
348	222656	415328
349	223393	414873
350	224063	414293
351	224853	413934
352	225483	413280
353	226257	412888
354	226816	412102
355	227464	411479
356	228143	410914
357	228802	410310
358	229528	409825
359	230176	409203
360	230861	408644
361	231499	408001
362	232131	407349
363	232763	406695
364	233546	406307
365	234097	405513
366	234975	405285
367	235590	404600
368	236296	404073
369	236971	403491
370	237575	402789
371	238260	402225
372	238982	401720
373	239520	400908
374	240265	400442
375	241032	400011
376	241707	399426
377	242320	398739
378	242992	398148
379	243583	397425
380	244236	396803
381	244827	396081
382	245492	395479
383	246142	394853
384	246727	394123
385	247335	393429
386	247920	392701
387	248534	392017
388	249175	391378
389	249804	390719
390	250460	390103
391	251056	389394
392	251694	388749
393	252364	388154
394	252941	387416
395	253561	386745
396	254170	386057
397	254762	385343
398	255358	384638
399	255900	383850
400	256583	383275
401	257193	382592
402	257811	381919
403	258394	381196
404	259049	380579
405	259687	379936
406	260274	379220
407	260869	378516
408	261474	377826
409	262079	377139
410	262744	376537
411	263423	375954
412	263996	375220
413	264586	374510
414	265236	373888
415	265775	373108
416	266432	372493
417	267091	371883
418	267842	371399
419	268438	370700
420	269162	370178
