iter	Passed	Remaining
0	329	329234
1	582	290697
2	855	284306
3	1112	276960
4	1365	271748
5	1615	267673
6	1848	262274
7	2079	257806
8	2330	256654
9	2564	253882
10	2793	251144
11	3043	250616
12	3298	250463
13	3553	250286
14	3808	250071
15	4059	249655
16	4318	249695
17	4557	248622
18	4809	248343
19	5037	246839
20	5288	246541
21	5541	246357
22	5773	245237
23	6021	244881
24	6270	244553
25	6525	244441
26	6773	244092
27	7024	243850
28	7258	243049
29	7511	242885
30	7744	242072
31	7973	241187
32	8200	240291
33	8429	239498
34	8680	239342
35	8932	239197
36	9137	237810
37	9362	237018
38	9602	236626
39	9840	236181
40	10064	235408
41	10295	234842
42	10540	234581
43	10772	234050
44	11001	233466
45	11241	233145
46	11467	232531
47	11707	232197
48	11939	231716
49	12169	231222
50	12399	230725
51	12623	230132
52	12837	229376
53	13059	228782
54	13288	228327
55	13515	227837
56	13740	227313
57	13954	226643
58	14179	226143
59	14415	225835
60	14640	225369
61	14882	225159
62	15112	224767
63	15335	224275
64	15578	224089
65	15808	223714
66	16024	223153
67	16245	222656
68	16492	222532
69	16716	222089
70	16955	221852
71	17182	221457
72	17392	220864
73	17631	220630
74	17867	220362
75	18097	220023
76	18342	219868
77	18581	219647
78	18794	219111
79	19034	218891
80	19274	218678
81	19510	218427
82	19749	218194
83	19972	217799
84	20214	217598
85	20446	217302
86	20672	216940
87	20903	216636
88	21111	216100
89	21349	215869
90	21585	215616
91	21814	215301
92	22067	215221
93	22292	214861
94	22541	214741
95	22768	214406
96	23011	214224
97	23257	214062
98	23502	213900
99	23740	213667
100	23972	213375
101	24176	212851
102	24406	212550
103	24648	212352
104	24887	212136
105	25107	211752
106	25316	211285
107	25542	210965
108	25784	210771
109	26017	210504
110	26266	210370
111	26509	210178
112	26739	209894
113	26977	209669
114	27218	209467
115	27453	209215
116	27688	208966
117	27925	208733
118	28159	208473
119	28403	208295
120	28637	208034
121	28867	207748
122	29115	207597
123	29345	207314
124	29591	207143
125	29841	206992
126	30072	206722
127	30285	206322
128	30539	206199
129	30767	205902
130	31018	205766
131	31266	205598
132	31497	205327
133	31780	205389
134	32024	205191
135	32275	205045
136	32535	204947
137	32777	204743
138	33014	204498
139	33267	204359
140	33498	204079
141	33749	203923
142	33979	203641
143	34214	203383
144	34467	203237
145	34722	203102
146	34971	202931
147	35206	202674
148	35456	202506
149	35703	202321
150	35963	202203
151	36217	202053
152	36418	201609
153	36665	201421
154	36908	201210
155	37159	201041
156	37411	200875
157	37661	200703
158	37862	200269
159	38112	200091
160	38382	200020
161	38610	199727
162	38854	199517
163	39113	199385
164	39359	199184
165	39602	198968
166	39880	198926
167	40115	198668
168	40347	198397
169	40574	198101
170	40808	197836
171	41065	197687
172	41329	197567
173	41577	197372
174	41824	197173
175	42072	196977
176	42307	196719
177	42551	196501
178	42815	196376
179	43066	196193
180	43322	196028
181	43576	195853
182	43807	195578
183	44068	195435
184	44327	195279
185	44584	195116
186	44816	194846
187	45036	194518
188	45277	194287
189	45515	194040
190	45741	193743
191	45976	193485
192	46235	193326
193	46502	193199
194	46750	192996
195	46996	192781
